id,arquitectura,horizonte,zona,epochs,params,config_json,mae,rmse,r2,smape,mejor_val_loss,tiempo_seg,dir
gru_h1_10c1eb14,gru,1,combeima,3,23665,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.28726089650810493,0.35126087390645805,-1.2401052720177543,80.38760393712812,,8.9,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_034409__basico\gru_h1_10c1eb14
gru_h1_ff72bfeb,gru,1,combeima,3,24273,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.2876874506064668,0.3517258453751417,-1.246039746932924,80.56496106920133,,8.6,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_034409__basico\gru_h1_ff72bfeb
lstm_h1_6bdfe82c,lstm,1,combeima,3,30929,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.28709984475792183,0.35108544594537755,-1.2378683079910329,80.32070711505744,,7.6,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_034409__basico\lstm_h1_6bdfe82c
lstm_h1_9c2c1b6d,lstm,1,combeima,3,31825,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.28778701673102813,0.3518342832887264,-1.247424879197808,80.60641461863604,,7.8,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_034409__basico\lstm_h1_9c2c1b6d
bigru_h1_26bfc988,bigru,1,combeima,3,59601,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.28821281973817725,0.35229768519425425,-1.2533489569617462,80.78392211251675,,13.2,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_034409__basico\bigru_h1_26bfc988
bigru_h1_94b5b69d,bigru,1,combeima,3,60817,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.28665556476519605,0.35059951532241634,-1.2316778139383828,80.13660239988526,,12.6,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_034409__basico\bigru_h1_94b5b69d
gru_attention_h1_ad77193c,gru_attention,1,combeima,3,23753,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.288802299734841,0.3529391185672584,-1.261561835379866,81.0301858364211,,10.7,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_034409__basico\gru_attention_h1_ad77193c
gru_attention_h1_3d7b5aec,gru_attention,1,combeima,3,24329,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.2883119957248976,0.3524056193494664,-1.2547298946355876,80.82531073473046,,8.9,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_034409__basico\gru_attention_h1_3d7b5aec
tcn_h1_e52a3a89,tcn,1,combeima,3,23009,"{""filters"": 48, ""kernel_size"": 3, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.2923466296593954,0.35678736871553235,-1.311148304129087,82.52446844331871,,6.0,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_034409__basico\tcn_h1_e52a3a89
tcn_h1_0dd7f44a,tcn,1,combeima,3,87473,"{""filters"": 96, ""kernel_size"": 3, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.29181401872689405,0.3562095989839347,-1.3036691696498113,82.29847083812965,,7.5,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_034409__basico\tcn_h1_0dd7f44a
